,Gold,SP500
2008-09-02,805.0,1277.5799560546875
2008-09-03,802.7000122070312,1274.97998046875
2008-09-04,797.9000244140625,1236.8299560546875
2008-09-05,797.5999755859375,1242.31005859375
2008-09-08,797.5,1267.7900390625
2008-09-09,787.0999755859375,1224.510009765625
2008-09-10,757.9000244140625,1232.0400390625
2008-09-11,741.2999877929688,1249.050048828125
2008-09-12,760.2999877929688,1251.699951171875
2008-09-15,783.0999755859375,1192.699951171875
2008-09-16,776.5,1213.5999755859375
2008-09-17,846.5999755859375,1156.3900146484375
2008-09-18,892.7000122070312,1206.510009765625
2008-09-19,860.5999755859375,1255.0799560546875
2008-09-22,903.9000244140625,1207.0899658203125
2008-09-23,885.5,1188.219970703125
2008-09-24,889.0,1185.8699951171875
2008-09-25,877.7000122070312,1209.1800537109375
2008-09-26,882.9000244140625,1213.27001953125
2008-09-29,888.2000122070312,1106.4200439453125
2008-09-30,874.2000122070312,1166.3599853515625
